Year|Consumption|State|Source
2017|681236|Alabama|Natural Gas
2016|715033|Alabama|Natural Gas
2015|701582|Alabama|Natural Gas
2014|650570|Alabama|Natural Gas
2013|625869|Alabama|Natural Gas
2012|677380|Alabama|Natural Gas
2011|609288|Alabama|Natural Gas
2010|544405|Alabama|Natural Gas
2009|466272|Alabama|Natural Gas
2008|414260|Alabama|Natural Gas
2007|430649|Alabama|Natural Gas
2006|402044|Alabama|Natural Gas
2005|363398|Alabama|Natural Gas
2004|391927|Alabama|Natural Gas
2003|360483|Alabama|Natural Gas
2002|389965|Alabama|Natural Gas
2001|344004|Alabama|Natural Gas
2000|368472|Alabama|Natural Gas
1999|349076|Alabama|Natural Gas
1998|341973|Alabama|Natural Gas
1997|337431|Alabama|Natural Gas
1996|337764|Alabama|Natural Gas
1995|332399|Alabama|Natural Gas
1994|299250|Alabama|Natural Gas
1993|302250|Alabama|Natural Gas
1992|287947|Alabama|Natural Gas
1991|261476|Alabama|Natural Gas
1990|252128|Alabama|Natural Gas
1989|253577|Alabama|Natural Gas
1988|243192|Alabama|Natural Gas
1987|214611|Alabama|Natural Gas
1986|210226|Alabama|Natural Gas
1985|227780|Alabama|Natural Gas
1984|239598|Alabama|Natural Gas
1983|229993|Alabama|Natural Gas
1982|253391|Alabama|Natural Gas
1981|281022|Alabama|Natural Gas
1980|278342|Alabama|Natural Gas
1979|291485|Alabama|Natural Gas
1978|244969|Alabama|Natural Gas
1977|248715|Alabama|Natural Gas
1976|232758|Alabama|Natural Gas
1975|271747|Alabama|Natural Gas
1974|282454|Alabama|Natural Gas
1973|279958|Alabama|Natural Gas
1972|287100|Alabama|Natural Gas
1971|294838|Alabama|Natural Gas
1970|307750|Alabama|Natural Gas
1969|310822|Alabama|Natural Gas
1968|296690|Alabama|Natural Gas
1967|262055|Alabama|Natural Gas
1966|240755|Alabama|Natural Gas
1965|236949|Alabama|Natural Gas
1964|230316|Alabama|Natural Gas
1963|211348|Alabama|Natural Gas
1962|201250|Alabama|Natural Gas
1961|191533|Alabama|Natural Gas
1960|190706|Alabama|Natural Gas
2017|343899|Alaska|Natural Gas
2016|330883|Alaska|Natural Gas
2015|333936|Alaska|Natural Gas
2014|329274|Alaska|Natural Gas
2013|332631|Alaska|Natural Gas
2012|347228|Alaska|Natural Gas
2011|339819|Alaska|Natural Gas
2010|334978|Alaska|Natural Gas
2009|343971|Alaska|Natural Gas
2008|343938|Alaska|Natural Gas
2007|372186|Alaska|Natural Gas
2006|375719|Alaska|Natural Gas
2005|434704|Alaska|Natural Gas
2004|407944|Alaska|Natural Gas
2003|415891|Alaska|Natural Gas
2002|420808|Alaska|Natural Gas
2001|413049|Alaska|Natural Gas
2000|437972|Alaska|Natural Gas
1999|422817|Alaska|Natural Gas
1998|434437|Alaska|Natural Gas
1997|425394|Alaska|Natural Gas
1996|443629|Alaska|Natural Gas
1995|432813|Alaska|Natural Gas
1994|367592|Alaska|Natural Gas
1993|375971|Alaska|Natural Gas
1992|383887|Alaska|Natural Gas
1991|367952|Alaska|Natural Gas
1990|326826|Alaska|Natural Gas
1989|321207|Alaska|Natural Gas
1988|288798|Alaska|Natural Gas
1987|251512|Alaska|Natural Gas
1986|208311|Alaska|Natural Gas
1985|214042|Alaska|Natural Gas
1984|258039|Alaska|Natural Gas
1983|239678|Alaska|Natural Gas
1982|237881|Alaska|Natural Gas
1981|122214|Alaska|Natural Gas
1980|153805|Alaska|Natural Gas
1979|157236|Alaska|Natural Gas
1978|145025|Alaska|Natural Gas
1977|116859|Alaska|Natural Gas
1976|90571|Alaska|Natural Gas
