Indiana,929.3,748.0,735.6,0.0,176.4
Colorado,315.8,461.8,480.5,0.0,160.2
Kentucky,639.4,296.9,581.2,0.0,97.3
Nebraska,233.8,175.6,238.2,72.3,185.5
North Dakota,397.9,112.1,185.9,0.0,161.0
Virginia,159.8,596.7,758.0,319.6,160.0
New Hampshire,3.6,53.7,153.1,104.5,65.4
Vermont,0.0,12.3,78.3,0.0,40.5
Illinois,685.0,"1,035.0","1,241.9","1,016.5",266.0
Minnesota,257.6,466.6,581.9,145.4,288.3
Kansas,216.7,278.6,338.2,111.4,215.6
Georgia,344.3,708.7,916.9,352.6,285.5
Nevada,27.3,306.4,256.7,0.0,108.6
West Virginia,710.4,202.9,193.6,0.0,48.3
New York,19.6,"1,280.1","1,290.6",441.0,483.9
Delaware,4.8,103.1,102.8,0.0,7.6
Oklahoma,198.3,691.7,555.2,0.0,278.8
Ohio,811.0,"1,014.8","1,111.2",185.0,148.2
Rhode Island,0.0,94.8,77.0,0.0,9.0
Maryland,107.0,232.5,442.1,158.0,78.6
Alaska,16.4,343.9,224.2,0.0,23.7
South Carolina,192.8,285.5,529.2,568.4,147.5
United States,"13,839.6","28,042.0","36,261.8","8,419.0","10,895.5"
Michigan,499.4,908.8,847.3,338.7,238.0
Washington,61.7,351.3,795.1,85.0,966.7
Wisconsin,388.6,504.5,519.8,100.9,191.3
Florida,407.5,"1,418.2","1,633.6",304.8,301.0
Wyoming,458.5,134.0,157.9,0.0,59.0
California,33.7,"2,188.7","3,534.2",187.2,"1,229.7"
Alabama,378.9,681.5,536.6,446.1,275.7
Maine,2.2,45.1,185.7,0.0,158.2
South Dakota,26.1,85.2,112.1,0.0,140.0
Arkansas,267.6,317.6,326.7,132.7,116.2
Idaho,2.6,116.0,176.9,0.0,173.1
Mississippi,53.8,543.7,494.3,77.0,70.2
Tennessee,334.6,331.7,715.5,332.8,184.7
New Jersey,16.5,734.1,907.3,355.9,82.5
Massachusetts,12.4,462.7,553.1,52.8,96.3
Pennsylvania,669.5,"1,403.7","1,201.1",870.2,233.1
Oregon,18.7,262.8,335.1,0.0,505.0
North Carolina,350.3,519.9,818.3,443.2,238.5
Iowa,300.3,376.3,411.3,54.5,455.0
Texas,"1,452.0","3,994.2","6,513.2",403.5,876.5
Montana,156.1,83.3,172.5,0.0,140.6
Missouri,709.8,264.8,603.8,86.9,95.2
Louisiana,142.3,"1,717.5","2,003.1",161.2,245.7
Hawaii,14.9,0.2,237.8,0.0,30.5
Utah,274.8,231.3,298.4,0.0,63.7
District of Columbia,(s),31.4,17.0,0.0,2.2
Arizona,334.5,336.0,531.9,338.2,169.6
Connecticut,2.5,246.3,298.3,172.6,45.2
New Mexico,199.1,249.9,251.6,0.0,76.3
